286662 (u'NS2.UNIREGISTRYMARKET.LINK', u'NS1.UNIREGISTRYMARKET.LINK')
363 (u'NS432.FLOATHOSTING1',)
359 (u'NS100.WEBHOSTINGBUZZ',)
355 (u'NS5.DNSDUN',)
348 (u'NS1.LINODE',)
347 (u'NS2.LINODE',)
336 (u'NS5.HOSTNOWNOW', u'NS6.HOSTNOWNOW')
331 (u'NS1.XSERVER.JP', u'NS2.XSERVER.JP')
326 (u'NS12.WIXDNS.NET',)
325 (u'NS2.ISIMTESCIL.NET', u'NS1.ISIMTESCIL.NET')
324 (u'NS13.WIXDNS.NET',)
319 (u'NS2.REDEHOST.COM.BR', u'NS1.REDEHOST.COM.BR')
318 (u'NS1BDG.NAME',)
317 (u'NS-CLOUD-D4.GOOGLEDOMAINS', u'NS-CLOUD-D3.GOOGLEDOMAINS', u'NS-CLOUD-D2.GOOGLEDOMAINS', u'NS-CLOUD-D1.GOOGLEDOMAINS')
314 (u'DNS3.MASTERWEB',)
302 (u'NS1.ARVIXESHARED', u'NS2.ARVIXESHARED')
299 (u'NS65.DOMAINCONTROL',)
299 (u'NS66.DOMAINCONTROL',)
294 (u'DNS2.MASTERWEB.NET',)
288 (u'NS2.HE.NET',)
283 (u'NS1.888DNS.NET', u'NS4.888DNS.NET')
282 (u'NS2.888DNS.NET', u'NS3.888DNS.NET')
281 (u'NS2646.ZTOMY', u'NS1646.ZTOMY')
279 (u'NS2-DOMINIO-SUSPENDIDO.TRAXHOST', u'NS1-DOMINIO-SUSPENDIDO.TRAXHOST')
276 (u'NS4.VPWEB', u'NS2.VPWEB', u'NS3.VPWEB')
272 (u'NS3.HE.NET',)
270 (u'NS3.A2HOSTING',)
269 (u'NS4.HE.NET',)
268 (u'NS4.A2HOSTING',)
253 (u'NS8525.HOSTGATOR',)
252 (u'NS8526.HOSTGATOR',)
248 (u'KATE.NS.CLOUDFLARE',)
242 (u'NS12.CLOUDNS.NET',)
239 (u'NS13.CLOUDNS.NET',)
239 (u'NS5.HE.NET',)
239 (u'NS11.CLOUDNS.NET',)
237 (u'NS14.CLOUDNS.NET',)
236 (u'DNS03.GPN.REGISTER', u'DNS05.GPN.REGISTER', u'DNS02.GPN.REGISTER', u'DNS04.GPN.REGISTER', u'DNS01.GPN.REGISTER')
231 (u'DNS3.MASTERWEB.NET',)
222 (u'DNS01.MUUMUU-DOMAIN', u'DNS02.MUUMUU-DOMAIN')
213 (u'DNS2.MASTERWEB',)
211 (u'DNS1.MASTERWEB',)
209 (u'NS2.MATBAO', u'NS1.MATBAO')
206 (u'NS1.TSOHOST.CO.UK',)
205 (u'NS2.TSOHOST.CO.UK',)
200 (u'YOLANDA.NS.CLOUDFLARE',)
198 (u'NS2.FLORIDAVANRENTALS.US', u'NS1.FLORIDAVANRENTALS.US')
196 (u'NS.PARKTONS', u'NS2.PARKTONS')
195 (u'NS1.FATCOW',)
194 (u'DNS18.OVH.NET', u'NS18.OVH.NET')
194 (u'NS2.FATCOW',)
194 (u'NS2.DOMAIN', u'NS1.DOMAIN')
194 (u'NS325.FLOATHOSTING1', u'NS324.FLOATHOSTING1')
190 (u'NS2.REGISTRANT-VERIFICATION', u'NS1.REGISTRANT-VERIFICATION')
188 (u'NS1.DNETSURABAYA.ID',)
